Hora,Precio,Volumen
25-02-2019 14:19:43,131.0,7.0
25-02-2019 14:19:43,131.0,143.0
25-02-2019 14:20:34,131.15,305.0
25-02-2019 14:20:53,131.15,300.0
25-02-2019 14:21:46,131.15,78.0
25-02-2019 14:21:46,131.15,78.0
25-02-2019 14:22:33,131.2,46.0
25-02-2019 14:22:33,131.15,16.0
25-02-2019 14:26:10,131.4,3.0
25-02-2019 14:33:07,131.2,100.0
25-02-2019 14:34:02,131.4,7.0
25-02-2019 14:34:41,131.4,220.0
25-02-2019 14:34:41,131.4,90.0
25-02-2019 14:37:03,131.2,25.0
25-02-2019 14:37:35,131.4,5.0
25-02-2019 14:43:52,131.4,275.0
25-02-2019 14:44:11,131.4,7.0
25-02-2019 14:44:12,131.4,7.0
25-02-2019 14:44:12,131.4,3.0
25-02-2019 14:44:12,131.4,4.0
25-02-2019 14:44:14,131.4,7.0
25-02-2019 14:44:15,131.4,7.0
25-02-2019 14:44:15,131.4,7.0
25-02-2019 14:44:17,131.4,7.0
25-02-2019 14:44:19,131.4,7.0
25-02-2019 14:44:20,131.4,7.0
25-02-2019 14:44:21,131.4,7.0
25-02-2019 14:44:22,131.5,3.0
25-02-2019 14:44:22,131.4,7.0
25-02-2019 14:44:23,131.4,7.0
25-02-2019 14:44:24,131.4,7.0
25-02-2019 14:44:26,131.4,7.0
25-02-2019 14:44:27,131.4,7.0
25-02-2019 14:44:27,131.4,7.0
25-02-2019 14:44:29,131.4,7.0
25-02-2019 14:44:32,131.4,7.0
25-02-2019 14:44:33,131.4,7.0
25-02-2019 14:44:34,131.4,7.0
25-02-2019 14:44:37,131.4,7.0
25-02-2019 14:44:39,131.4,7.0
25-02-2019 14:44:39,131.4,7.0
25-02-2019 14:44:43,131.4,7.0
25-02-2019 14:44:43,131.4,7.0
25-02-2019 14:44:45,131.4,7.0
25-02-2019 14:44:46,131.4,7.0
25-02-2019 14:44:47,131.5,7.0
25-02-2019 14:44:49,131.4,7.0
25-02-2019 14:44:50,131.4,7.0
25-02-2019 14:45:08,131.5,3.0
25-02-2019 14:45:17,131.4,78.0
25-02-2019 14:45:45,131.5,20.0
25-02-2019 14:45:45,131.5,980.0
25-02-2019 14:45:51,131.5,2236.0
25-02-2019 14:46:27,131.4,7.0
25-02-2019 14:46:29,131.4,588.0
25-02-2019 14:48:21,131.4,2000.0
25-02-2019 14:49:43,131.3,3288.0
25-02-2019 14:52:29,131.25,7.0
25-02-2019 14:52:31,131.25,7.0
25-02-2019 14:52:31,131.25,7.0
25-02-2019 14:52:33,131.25,7.0
25-02-2019 14:52:34,131.25,7.0
25-02-2019 14:52:35,131.25,7.0
25-02-2019 14:52:36,131.25,7.0
25-02-2019 14:52:37,131.25,7.0
25-02-2019 14:52:37,131.25,7.0
25-02-2019 14:52:42,131.25,7.0
25-02-2019 14:52:43,131.25,7.0
25-02-2019 14:52:44,131.25,7.0
25-02-2019 14:52:49,131.25,7.0
25-02-2019 14:52:52,131.25,7.0
25-02-2019 14:52:53,131.25,7.0
25-02-2019 14:52:54,131.25,7.0
25-02-2019 14:53:15,131.25,35.0
25-02-2019 14:54:33,131.4,23.0
25-02-2019 14:55:28,131.4,493.0
25-02-2019 14:55:28,131.4,262.0
25-02-2019 14:55:36,131.25,596.0
25-02-2019 14:55:37,131.2,2324.0
25-02-2019 14:55:37,131.2,80.0
25-02-2019 14:56:20,131.6,257.0
25-02-2019 14:56:33,131.2,35.0
25-02-2019 14:56:33,131.2,1507.0
25-02-2019 14:57:03,131.15,3833.0
25-02-2019 14:59:16,131.5,1.0
25-02-2019 15:01:52,131.0,3200.0
25-02-2019 15:01:54,131.0,3200.0
25-02-2019 15:01:55,131.0,3200.0
25-02-2019 15:01:59,131.0,900.0
25-02-2019 15:03:41,131.0,1.0
25-02-2019 15:03:56,131.0,17.0
25-02-2019 15:06:20,130.8,900.0
25-02-2019 15:06:20,130.8,4000.0
25-02-2019 15:07:03,130.95,300.0
25-02-2019 15:12:58,130.85,2052.0
25-02-2019 15:12:59,130.9,3000.0
25-02-2019 15:13:21,130.9,500.0
25-02-2019 15:13:41,130.9,1490.0
25-02-2019 15:13:41,130.85,10.0
25-02-2019 15:16:03,130.7,30.0
25-02-2019 15:16:03,130.7,5.0
25-02-2019 15:16:14,130.6,3.0
25-02-2019 15:18:52,130.65,305.0
25-02-2019 15:20:02,130.65,25.0
25-02-2019 15:20:10,130.9,5.0
25-02-2019 15:20:10,130.9,10.0
25-02-2019 15:20:11,130.9,5.0
25-02-2019 15:21:01,130.9,7.0
25-02-2019 15:22:21,130.9,45.0
25-02-2019 15:23:04,131.0,5000.0
